ORGID,OrgUnitPath
1004,/MI-001/MI-701/MI-261
1217,/MI-001/MI-704/MI-250
1236,/MI-001/MI-704/MI-015
1308,/MI-001/MI-700/MI-096
1309,/MI-001/MI-701/MI-192
1553,/MI-001/MI-702/MI-176
1554,/MI-001/MI-700/MI-201
1653,/MI-001/MI-702/MI-011
182,/NHQ-004
1920,/MI-001/MI-999
1984,/MI-001/MI-700
1985,/MI-001/MI-701
1986,/MI-001/MI-702
2021,/MI-001/MI-703
2037,/MI-001/MI-704
2060,/MI-001/MI-705
2109,/MI-001/MI-706
2160,/MI-001/MI-704/MI-135
2199,/MI-001/MI-700/MI-022
223,/MI-001
2277,/MI-001/MI-707
2303,/MI-001/MI-702/MI-202
2399,/MI-001/MI-707/MI-214
2503,/MI-001/MI-705/MI-655
2508,/MI-001/MI-706/MI-277
2525,/MI-001/MI-701/MI-165
2750,/MI-001/MI-701/MI-300
2774,/MI-001/MI-705/MI-100
2801,/MI-001/MI-700/MI-394
2805,/MI-001/MI-707/MI-395
322,/MI-001/MI-701/MI-075
389,/MI-001/MI-707/MI-257
404,/MI-001/MI-707/MI-059
43,/MI-001/MI-704/MI-190
445,/MI-001/MI-705/MI-260
463,/MI-001/MI-704/MI-119
490,/MI-001/MI-705/MI-063
637,/MI-001/MI-701/MI-276
69,/MI-001/MI-704/MI-248
70,/MI-001/MI-704/MI-265
744,/MI-001/MI-000
745,/MI-001/MI-705/MI-183
746,/MI-001/MI-702/MI-117
798,/MI-001/MI-706/MI-094
800,/MI-001/MI-704/MI-009
898,/MI-001/MI-706/MI-243
912,/MI-001/MI-707/MI-007
989,/MI-001/MI-706/MI-131
992,/MI-001/MI-702/MI-238
2867,/MI-001/MI-702/MI-437
2928,/MI-001/MI-707/MI-021
2862,/MI-001/MI-706/MI-031
